,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
97,B1-REF,1,1,sortmerna,0.76:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
98,B1-REF,1,1,sortmerna,0.76:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
99,B1-REF,1,1,sortmerna,0.76:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
100,B1-REF,1,1,sortmerna,1.0:0.8:1:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
101,B1-REF,1,1,sortmerna,1.0:0.8:1:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
102,B1-REF,1,1,sortmerna,1.0:0.8:3:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
103,B1-REF,1,1,sortmerna,1.0:0.8:3:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
104,B1-REF,1,1,sortmerna,1.0:0.8:5:0.8:1.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
105,B1-REF,1,1,sortmerna,1.0:0.8:5:0.9:1.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
106,B1-REF,1,1,sortmerna,1.0:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
107,B1-REF,1,1,sortmerna,1.0:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
108,B1-REF,1,1,sortmerna,1.0:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
109,B1-REF,1,1,sortmerna,1.0:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
110,B1-REF,1,1,sortmerna,1.0:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
111,B1-REF,1,1,sortmerna,1.0:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
112,B1-REF,1,1,uclust,0.51:0.8:1,0.0,0.4444444444444444,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
113,B1-REF,1,1,uclust,0.51:0.8:3,0.0,0.4444444444444444,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
114,B1-REF,1,1,uclust,0.51:0.8:5,0.0,0.4444444444444444,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
115,B1-REF,1,1,uclust,0.51:0.9:1,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
116,B1-REF,1,1,uclust,0.51:0.9:3,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
117,B1-REF,1,1,uclust,0.51:0.9:5,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
118,B1-REF,1,1,uclust,0.76:0.8:1,0.0,0.4444444444444444,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
119,B1-REF,1,1,uclust,0.76:0.8:3,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,"[5, 4, 0, 0, 0, 0, 0, 0]"
